Review-Body,label
not satisfied this product is lower quality,0
good,0
very nice phone and good battery life but camera is not good,0
nic phone in these price,0
waste mobile,0
average phone but costly,0
good,0
you could mention,0
super quality all mobile phone very good battary backup camera smoodness,0
worsted camera quilty,0
good,0
video braking problem how to returned this set,0
good,0
camera,0
good performance,0
i am recommend,0
i just received the product today and i,0
it,0
nice,0
super fast charging,0
phone looking is good but camera is normally camera,0
amazing,0
battery not charge in,0
nice,0
best ever wrost phone,0
note good,0
i have purchased a realme narzo,0
bad product experience from the start,0
front camera not as per quality expected,0
battery backup is good,0
super,0
nice,0
don,0
good and useful product,0
good nothing to complain about based on price point and features provided,0
beyond expectations,0
light weight,0
good phone with offers with average camera,0
this phone can use for basic users,0
value for money,0
excellent performance,0
everything good,0
ok,0
very good mobile,0
excellent,0
nise,0
previously i am using poco f,0
very slow device with old android version,0
the media could not be loaded,0
good product,0
waste money and bekar,0
phone getting slow or hang and getting heated battery while charging,0
very worst mobile,0
fantastic,0
battery percentage increase only,0
it is worthless and very slow phone,0
good,0
redmi,0
osmmmm mobile,0
back camera not clear,0
worst display and camerait,0
amazing product,0
nice phone go for it,0
nice,0
good product value for money,0
bad bad,0
charger not working,0
worest,0
very poor quality camera,0
good,0
proccesing very slow,0
dislike,0
value for money but camera and touch senses are not good,0
camera quality is bad,0
wowww,0
kadak,0
not clear,0
good,0
value for money,0
good,0
camera quality very bad,0
i bought this in,0
please do not buy this mobile it,0
super,0
batter but betteri rhoda kam,0
screen display is not good and having vibration,0
meet the expectations,0
good one,0
very good phone,0
worst mobile,0
mha fuddu phone,0
mob over heated or hot using many times,0
i never expect this kind of product from oneplus,0
display very good and awesome working and cemera is very good nic phone a,0
the media could not be loaded,0
all features are very good and battery is good,0
all good but heating prblm only,0
awesome,0
brightness is very lowonly use for night time,0
please upgrade for battery life,0
super,0
it has serious hang issue as well as network problem,0
nice phone,0
it,0
its very simple,0
excellent mobile,0
five star,0
good phone,0
a series oppo phones have a big problems of hanging,0
i had ordered this phone on,0
as oneplus gives you very good user experience,0
worest this rating only for amazon exchange,0
the worst phone,0
very smooth and nice performance,0
not display shows,0
all good quality,0
camera is worst and,0
the media could not be loaded,0
very good,0
good product,0
oppo a,0
camera is not up to mark stating,0
simply the best,0
gud quality,0
cost friendly product,0
nice mobile for grabbing with best price,0
according to the price mobile is very good camera and very good,0
napasand,0
i,0
it,0
i like it,0
very bad,0
very nice product,0
nice phone,0
good,0
very good battery,0
not satisfied,0
good,0
bekar mobile hai battery proformmance is bad,0
waste product,0
nice product,0
worst item mobile battery was worst and mobile talking,0
value for money products but selfie camera is average,0
supreme phone,0
best phone,0
the media could not be loaded,0
facing problem with sim slots,0
great,0
it works very well,0
product is very good,0
i love this device performance and camera with battery nice,0
very nice,0
ram is super,0
bakwash tolally money west,0
the media could not be loaded,0
best quality,0
after two weeks of usage,0
best,0
the best,0
marvelous,0
i brought it one month back,0
the media could not be loaded,0
like,0
very nice,0
battery life is good,0
front camera not ok,0
not good,0
camera quality low,0
calls can,0
good camera,0
dislike,0
good,0
satisfy with the product,0
happy,0
good,0
good mobile,0
bad performance i want money back,0
very good,0
visit dish,0
phone is getting hanged and struckneed replacement,0
don,0
battery life great,0
issue,0
not expected this,0
most bakwaas phone ever highly expensive but no any special feature waste of money,0
superb product at reasonable price,0
poor display quality and display brightness is very dull,0
front camera quality is bad and there are time it doesn,0
worst mobile hanging,0
iam happy this item purchased good quality screen camera,0
amezing,0
good one,0
good,0
ok,0
nice,0
first time bought gaget online,0
worst,0
the media could not be loaded,0
nice model,0
nice,0
worst of camera,0
wrost phone ever,0
overall performance of this phone is good,0
superb camera quality,0
it,0
speak,0
nice mobile smooth and big screen but camera is not good,0
nice phone,0
unsure what happened,0
like,0
don,0
ok but as compared to price,0
i am satisfy with this,0
guys don,0
i got my delivery on,0
it,0
please don,0
camera clarity is very bad,0
good phone with fantastic battery life but camera could be more better,0
very good product in less price,0
good,0
poorest camera,0
good,0
this is the best quality of phone,0
bettrey life is low and mobile processer is very good,0
money fully west camra quality and voice is very poor quality i think realme products is not a good,0
bought this for my mother who doesn,0
earphone missing,0
all is very good,0
bakwaa phone charge work nahi kar raha karta proper fast charge nahi ho raha nahi he but performance is good charge take is long time,0
not charging,0
i bought this phone to gift my uncle who is over,0
fingerprint sensor is very slow and week phn not open in one touch,0
best quality and good product i m happy,0
the look and the camera are most important part of the phone,0
lovely,0
good product,0
the media could not be loaded,0
high cost low value phone,0
nice and low price,0
display quality is not good,0
this is a good phone value for money please buy this,0
dislike,0
display blinking,0
no,0
nice product,0
excellent mobile,0
awesome camera quality and screen,0
super phone at valuable price,0
camera quality below average,0
good in budget mobiles,0
not valuable at any cost coz hanging many time,0
otbaottha,0
good,0
i got it at,0
video calling doesn,0
product is very good,0
network problem h gps not good,0
battery charging take high time,0
wrost product,0
worst phone i have ever purchased,0
all good,0
heavy waightbig size,0
this is the worst mobile ever,0
good battery backup ane low price all over good phone this price range,0
it,0
nice phone,0
its not good product,0
i don,0
everything is perfect,0
camera quality averagebut battery capacity is the best,0
good,0
very good,0
good,0
pura seraaaa set,0
good,0
bad cell,0
worst experience,0
we like the phone very much,0
the media could not be loaded,0
it looks like a,0
no updates above android,0
this mobile is good and lite wight,0
awesome product,0
no problem,0
better phone price,0
camera quality nahi hai,0
camera,0
good,0
screen lock button not working properly,0
the media could not be loaded,0
don,0
issue,0
phone is worth the price,0
good,0
excellent,0
battery is not good,0
not good product,0
only camera quality issue,0
worst phone battery power is less only half day only using,0
hang problem,0
this phone absolutely value for money,0
i like it,0
touch properly working,0
please dont purchase no exchange offer not good camera not intrestedd this mobile pleaseeee lotpot mobile redmi,0
good and excellent service and product,0
this is amazing mobile phone,0
useing the mobile for taking online classes the best is,0
very good products,0
worst product and worst service,0
i have ordered this item after doing lot of research for a good phone within my,0
network issue in this phone not working proper incoming,0
everything is too good,0
good,0
worst phone,0
fingerprint lock very slow,0
it,0
mi hosur service centre very worst,0
thanks,0
hi to alli am using this phone for a period of,0
battery quality very bad,0
realme my favourite brand,0
excellent,0
there is no hotspot facility in this phone,0
waste of money,0
never ever buy this phone camera quality is very bad,0
screen,0
for fast using,0
quality is less than expected,0
camera and battery is gud,0
i am not able to use this phone morethan,0
its a worst phone i ever bought,0
finger print sensor not working,0
i never expected this kind of bad quality camera from mi note,0
camera could be better for this price,0
i booked redmi note,0
days review,0
reset option not working,0
excellent screen,0
it,0
excellent,0
really worst,0
very good,0
the charger head is not given by amazon only that usb cable is there,0
i like product,0
light weightlooks good and feels good in handcompact size so easy to holdcharging speed is better than other mobilesdisplay quality is too good compared to other mobiles in this price range,0
i have recently bought this phone,0
waste of money,0
ok,0
very nice product at this price,0
battery back up is not good as expected,0
phone was looking so good,0
if you can afford to push your price range,0
nice pic phone,0
this phone is not good,0
charger defect,0
didn,0
phone is price rang me bhut acha h,0
this mobile is not good as expected,0
not a great mobile,0
nice mobile,0
product display and multimedia experience is good,0
some times feel slow operationike other samsung phones but not like disappointing level,0
i am very,0
camera,0
yep ok good mobile with less cost,0
camera is flagship,0
it never looks as shown in display,0
very nice product,0
suraj modi,0
the media could not be loaded,0
miui is trash,0
received an amazing product from amazon,0
battery n camera is good,0
writing this review after use of almost,0
it,0
after,0
display refresh rate is slow,0
good,0
the device received was preety good and as per the configuration mentioned,0
ok,0
i,0
well done,0
terrible mistake i have done purchase by going through the ratings,0
the phone is just awesome,0
found damaged front camera,0
budget frndly,0
wroste product ever no fingerprint sensor work,0
superb,0
good,0
camera quality is not nice,0
good,0
worst camera quality,0
one of the best phone,0
after one month of usage it,0
works like charm,0
the media could not be loaded,0
phone is ok,0
its is not for gaming dont buy it,0
m,0
camera quality is very good and fingerprint reader is very good and battery life is very very so goodthank you redmi,0
best phone for normal use,0
product is good but camera is soo poor if we add,0
best phone under this price,0
the camera quality is not good,0
excellent,0
speaker quality,0
camera quality is so bad,0
camera quality is very average,0
chip quality products,0
perfect products for price same product available off line in the namr of a series,0
wifi connectivity getting disconnected again and again i think i have received faulty mobile please check and replace,0
over all phone is good but front camera is not good,0
fantastic phone,0
loss phone purchased,0
battery drain faster than my,0
it comes with,0
i have bought this phone it,0
the media could not be loaded,0
hanging problem,0
camera is not up to mark,0
on the very first day itself after using for just,0
the media could not be loaded,0
camera could have been better,0
as per,0
battery life very poor,0
very poor camera and fiction of phone it,0
finger print reader is elegant and battery is awesome for two days,0
worst camera quality of mobile only deciveing customer by saying,0
touch and camera improvement highly required,0
great phone,0
bought this phone for my mother,0
i will buy this phone but the phone is hitting problem too please get the right product,0
it,0
fingerprint is very fastbettery is low consumedcamera is normal quality,0
not good on camera,0
quality of all over phone is not good,0
mi lite mode option is superb,0
pros,0
this mobile is not for camera enthusiastic people,0
the media could not be loaded,0
it is not,0
phone is good but many feature is not upto mark,0
model,0
good,0
nice product,0
happy with amazon delivery service and seller,0
this product quality camera is good,0
issue,0
camera quality is very bad,0
very bad camera quality,0
m,0
very good,0
camera resolution is not good as described in profile,0
average phone,0
writing this review after,0
good,0
battery back up is poor,0
kind of taking,0
never buy any smartphone with mediatek processors,0
camera quality is very poor in comparison of moto g,0
battery charging is verry slow,0
better than any orange or other brands with fruit names,0
camera quality is not good as expected as redmi mentions,0
its a normal use mobile,0
it,0
i didn,0
nice,0
screen is slow to touch and limited ram,0
budget quality,0
over hiting phone charging time and calling time,0
whole mobile is made of cheap quality plastic,0
little bit issues this mobile,0
excellent features and ease in operation,0
just good phone,0
carmera is the worst one,0
camera is good,0
avreg,0
since its an led screen,0
good,0
good phone for performance,0
but don,0
photo quality is not good as compared to my last cheaper model realme pro,0
ok fine overall performance good,0
must he bhai iss range me bas cemra thoda sa shi nhi he,0
value for money,0
battery backup is awesome,0
overall a good phone with average camera quality,0
it is no wastage of money,0
camera quality not good,0
so far no problem,0
no good,0
good battery lifeno fast charging includingaverage camera qualitygood in this price range,0
fingerprint,0
very good phone in this price,0
don,0
it gets switched off out of no where and does not function for a while,0
the media could not be loaded,0
battery acchi chalti hai and server thik hai girlfriend achcha laga future mobile ko,0
overall it is a good product,0
firstly i liked the,0
just one thing which i don,0
the camera,0
please don,0
everything is fine,0
gaming ke liye,0
it got all my expectations satisfied within the budget,0
works awesome,0
igl,0
battery life is good but camera is not that good and fingerprint reader is also good,0
battery is not good,0
good mobile,0
overall a good phone,0
bought for mom,0
it,0
i like lookwise but fingerprint reader on lock button is bit of worst one,0
both front camera and back camera shots are below average,0
diskike,0
don,0
poor camera and worst performance,0
best product in best price,0
it,0
camera quality not ok,0
it lags when a lil heavy task is done but good,0
i am ok,0
good,0
very good,0
camera is not feels like,0
value for money,0
nice product,0
mobile working smooth and camera quality is excellent,0
good,0
the media could not be loaded,0
the phone is bulky,0
worth the price,0
good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,0
good,0
amoled is great and battey life awesome,0
battery life excellent,0
everything is good except camera quality,0
my first choice for redmi phone always but after buying this phone,0
phone is goodbut camera very low quality,0
worst sound quality while on call,0
i m not happy with this product it,0
bought on,0
the media could not be loaded,0
camera quality is quite good,0
best samsung m series phone ever with knox security and full version of one ui,0
both camera,0
great phone go for it this range is great go for it good cemra good battry all good this phone,0
camera quality very basic,0
after using this phone,0
good,0
rear camera is good,0
camera not good,0
good phone,0
nice product,0
it will hang something but in this range good phone go for it,0
good,0
if u need under,0
many west,0
it is made in china productdisplay quality is very poor hard to see eye will get strain,0
amazing phone with some amazing featurs,0
bad product bad camera quality,0
the phone is best and ram performance is very nice,0
phone is just awesome but camera quality is not that much good,0
camera is of very bad quality,0
no charger in the box only c type cable have in the box,0
a descent product in this price,0
very bed phone phone is hang any time very poor service,0
apps are getting closed while doing important tasks,0
it is a good phone in its price level,0
waste of money i have never seen such a useless product before,0
chinese quality,0
phone took so much time for charge,0
battery warming very soon,0
phone was dead aftrr a week,0
camera totally sucks and back finish is plastic,0
i wonder why people are saying it hangs and there is lag,0
camera is not good clearity is worst,0
lags sometime while handling everyday task like social media apps and auto refresh rate while on,0
the media could not be loaded,0
after,0
the phone color is not as same shown in amazon photo images,0
just after,0
all good,0
phone in this price range is ok,0
it,0
very poor,0
average performance,0
not good quality of back and front camera not satisfied with the product it,0
front camera is worst,0
very good phone,0
ok,0
i bought this in great indian festivalat that its price,0
awesome,0
i bought it for,0
camera not good,0
camera quality is below expectation,0
good product nice,0
average phone,0
camera is not functioning after,0
very bad,0
big screen than my m,0
camera quality is vary poor and charging iss very slow,0
i have been using this from past,0
the media could not be loaded,0
bad,0
good product,0
i like this product,0
camera is not working as expected,0
camera bilkul bekaar hai,0
pictures quality not too good not too to bad avarage,0
ok ok,0
am a student and a samsung user since a decade,0
everything is good about this phone except camera,0
camera quality is really bad,0
hangs,0
battery,0
i did not like telephone getting heated up when it ischarged,0
the media could not be loaded,0
google dyler google messaging,0
i,0
camera is very poor,0
don,0
good product,0
best,0
battery life is not good,0
as expected,0
best for gaming and battery life is good,0
product is very bad i have lost my money my mobile is not properly working after,0
touch is amazing as compared to xiaomi phones,0
worst camera quality,0
the media could not be loaded,0
good mobile,0
a,0
satisfied with this phone,0
camera quality very bad,0
processor could have been better overall a decent phone,0
very good,0
absolutely the best phone under,0
this phone is like helicopter for mid range,0
not like because dual app not support,0
my product is very slow internet speed so please return this item,0
all specifications are oknice phonescreen are very vibrant and full brightenbattery life,0
after,0
very good phone love it loved it loved it and loved it so much very very love it and then loved it,0
battery backup is poor,0
donald buy chaina phone,0
to charge,0
good,0
average camera,0
camera quality good,0
poor performance,0
definitely a great mobile for day to day work,0
overall good product in this range,0
mobile charging is very slow,0
camera quality is very poor,0
mi note,0
worst mobiledo not purchasethis is repaired mobile,0
this is not for gamers,0
late delivery,0
nice phone,0
i like it,0
voice clarity is not good,0
camera is awesome,0
note good mobile phone,0
good interface,0
the media could not be loaded,0
better mobile in this price range,0
battery backup could be more,0
video quality while video call is very poor,0
quality is very bad,0
some problem for toch screen,0
pros,0
overall good phone,0
good cameragood lookinglong tym batteryi impresd,0
ok tipe ka phone hai leg karta hai refresh rate,0
dislike,0
this phone battery is good but it takes long time to charge,0
the front camera quality is too bad,0
all over ok looking good battery is good but camera quality is very poor,0
good quality,0
looks and battery is good,0
the back body gives plastic feel,0
good but no headset and back cover nothing but mentioned not given,0
all good but phone hi churaliya kisi ne,0
camera is too bad,0
much better for price in all future,0
i bought it preferably cuz of,0
issue,0
good,0
product s satisfactory,0
apps open very leggy,0
the phone was good but cemra is normal,0
great phone at such a less price,0
good quality,0
issue,0
just buy,0
worst ui funtouch os needs to improve a lot as notification centre is same as in android version,0
the media could not be loaded,0
having ghost touched in my phone,0
not meet the expectations,0
i purchased,0
battery backup low on drive,0
faltu,0
the media could not be loaded,0
super mobile nice i loved it,0
value for money,0
average phone,0
good phone under,0
redmi note,0
after using for,0
nice phone in this price range,0
battery life good,0
a decent phone,0
finger print sensor was superb,0
it has been more than a decade that have been using a smartphone but never samsung,0
pros,0
camera quality,0
awesome product,0
superb displaysuperb one uisuperb knox security featuressuperb battery lifegreat,0
user friendly mobile,0
i,0
issue,0
made in china is written in the mobile label and box also and no return abd refund facility available i also suffer to buy this phone i have no idea,0
no any back cover will be given to me with this device,0
not good,0
i thin k m,0
otherwise good phonetouch and rear camera not good,0
average mobile,0
i like it,0
finger not work,0
very nice,0
he send defective items worst product customer care also not supporting,0
it,0
superb mobile in this price,0
call receiving volume is very low,0
good product,0
all good,0
i purchased this phone,0
phone is not working properly,0
valuable price,0
i think i didn,0
fingerprint reader is nicebattery is also goodcamera is excellenti love this,0
gifted this phone to my mother on her birthday,0
camera quality is very poor,0
all good,0
awesome,0
screen,0
apps are not working properly,0
mobile keyboard is not so smooth,0
charging is bit slow compared to my oppo reno,0
its good,0
bed product,0
not better in this price,0
a smartphone packed with loads of features under this budget,0
the media could not be loaded,0
i buy,0
camera,0
rear camera quality is good,0
good phone exclusively in amazon,0
all ok finger print reader not work suddenly,0
not bad option this one is good otion for long battery,0
i like everything about this phone,0
the phone is very good at what it,0
average,0
camera quality is not like a,0
after using,0
excellent,0
must,0
speed,0
good,0
in this price range it is pretty good,0
i like this phone very much,0
good phone,0
the phone is good but not for rough use,0
feels laggy,0
it,0
i bought this for my mother,0
camera quality is not upto the mark,0
after seeing many youtube promotions i have purchased this mobile,0
wow super phone i like it and quality very very good and battery back up suberb camera quality good superb phone,0
sound is not that much high,0
fingerprint reader,0
ok,0
got this phone on the first sale for,0
just awesome built,0
very good mobile under budget,0
camera quality very poor,0
all features are good,0
very good,0
nice product,0
bought it for my father during diwali sale in november,0
valued,0
nice mobile,0
in budget segment will strongly recommend this phone,0
i bought this for my mom and it serves the purpose,0
i have purchased this m,0
price are good,0
just ok,0
very good phone for the price range,0
the media could not be loaded,0
the media could not be loaded,0
battery life and camera quality is too good but as compare to samsung keyboard is not much good quality,0
camera not good,0
not what i expected,0
main problem hanging and slow work,0
very nice mobile in this price,0
it,0
ok under,0
display and sound clarity is awesome but camera performance is very very bad and dailer application performance is very bad,0
battery best h,0
i order it while amazon sale january i got it this in,0
camera quality bad,0
overall phone is good but the issue is battry and charging facility,0
camera pretty average,0
i like samsung phones specially m series because of their battery backup and this product is very good and camera quality is far better than other mobiles,0
should have better sound and camera,0
good phone with good specs,0
not bad,0
excellent camera quality,0
thik thak hei,0
bad camera quality,0
very good mobile at this price range,0
camera quality could be better,0
scratches present in screen and side,0
not bad but amazon service is bad service not mentioned clear procedure,0
front camera quality is very very poor,0
good,0
the media could not be loaded,0
good product mi,0
i have redmi note,0
good for low budget but having a low touch sensitivity,0
i like it battery life good but front camera quality not good and some option not good but ok,0
as per the size of battery,0
best screen,0
pros,0
the backside paint quality is very poor,0
too much hang,0
ok for the price offered,0
no amoled,0
with good camera,0
thes phone camera and display quility very dirty,0
camera is worst and speakers too,0
good product,0
the camera quality is not as we expect from the red mi note series,0
everything,0
please go through it,0
very very amazing product and any thing range is very nice,0
every thing is good but i don,0
soft case misisng andscreen protector misisng in box,0
the media could not be loaded,0
camera quality not good it,0
very slow charging,0
worth for the money paid,0
after using a month redmi note,0
not,0
poor quality camara,0
wifi issues i want to replace the product,0
finger print not working properly some time,0
phone condition ok good performance is not bad,0
camera quality is highly disappointing,0
nice mobile,0
camera quality need to improve,0
camera quality very poor,0
bad quality camera and charging point is not type c also charging cable is so small,0
not good,0
good product,0
volume is very slow and camera,0
product is satisfactory but delivery is very poor,0
the amoled display is just a name,0
phone body looks cheap camera quality very bad no screen gaurd or cover provided with phone,0
camera quality and voice recorde on video not good,0
phone to achha hai lekin camera quality average hai,0
battery,0
the media could not be loaded,0
performance lagging,0
not satisfied completely with this brand,0
camera is good,0
software glitch is a big issue,0
charging is,0
i used icici credit card for payment and got rs,0
overall,0
good,0
very good mobile phone,0
overall good phone for one who wants a premium featured phone under affordable budget,0
it,0
nice,0
poor cam,0
camera quality is so poor u don,0
dispaly and camera below average,0
camera quality poor,0
good product at best price,0
decent performance,0
this phone is not good because it lags often in a day,0
it,0
battery life seems to be strong,0
good,0
super product,0
this mobile phone good,0
charger missing,0
not up to the mark,0
low budget with good configuration,0
battery life,0
display looks very cheap touch has to be hit many times then it works,0
nice,0
average,0
faltu camera quality,0
fhd,0
camara is worstand charging is very slow it,0
ok products,0
camera performance is not good as even compared to same brand of mobile mi note,0
the battery backup is good,0
true value for money,0
not good this device processor and camera,0
the camera does not wark properly,0
paisa vasool,0
although it doesn,0
the ui has become more troublesome and the calling and messaging is hectic the gernal miui was far better and simple while the system occupies almost,0
best android budget phone,0
fromt camera good,0
worth to buy,0
very good product,0
camera quality is not tood good,0
liked samsung latest features,0
ok ok,0
camera blur,0
good,0
phone is full of bugs,0
poor quality,0
i like cameravery fast chargefingerprint sensor not much effectivebattery drains quickly,0
very nice,0
my overall experience with this phone is absolutely fantastic,0
photo quality is not good,0
kidu phone,0
very bad performance,0
its good compare to price,0
waste of money very bad product,0
bed camra quality,0
for anyone looking for a non gaming phone then this has to be the best in this price segment,0
product is good,0
camara flop,0
excellent mobile phoneexcellent cameragood battery lifeexcellent displayall things are excellent in the mobile go for it,0
there is delay in opening the apps,0
thems not suit one to anther lot of thems not suit to contact,0
nice,0
the main thing to me was to buy a made in india mobile phone and samsung branding on top of that was an added advantage as it,0
this product,0
feel like better,0
i have using one plus nord ce,0
worst camera i ever seen,0
the media could not be loaded,0
i am using oneplus nord ce,0
battery is very good but camera quality not satisfied,0
naam aur paise ke hisab se iska battery backup aur camera quality sahi nhi hai,0
i was looking for a smartphone for my father which comes under,0
budget wise ok,0
camera,0
everything is good but battery drained so early and phone is get heat very fast,0
the media could not be loaded,0
slow charging,0
excellent,0
dnt buy,0
super,0
display not good,0
only drawback is camera quality,0
west of money bogus product,0
camera pixels are average,0
